model,dataset,fraction,C,auroc,ece
VIRCHOW2,BRACS,0.01,0.1,0.7806050864418631,0.06925968073868088
VIRCHOW2,BRACS,0.01,1.0,0.7918278214942965,0.15832702192545736
VIRCHOW2,BRACS,0.01,10.0,0.8049952495463683,0.07449053000010436
VIRCHOW2,BRACS,0.01,100.0,0.8031399132515107,0.13362387502620013
VIRCHOW2,BRACS,0.1,0.01,0.8447060586093751,0.042185582319092564
VIRCHOW2,BRACS,0.1,0.1,0.8578356335924547,0.2061645006031644
VIRCHOW2,BRACS,0.1,1.0,0.8826118790969697,0.1269026930480249
VIRCHOW2,BRACS,0.1,10.0,0.8870579881865327,0.0705943386037813
VIRCHOW2,BRACS,0.1,100.0,0.8770720398702934,0.18216533139891608
VIRCHOW2,BRACS,1.0,0.01,0.8701205765245089,0.21154559796861908
VIRCHOW2,BRACS,1.0,0.1,0.8927366973806444,0.14920252177563553
VIRCHOW2,BRACS,1.0,1.0,0.9038447387617934,0.044859031968791714
VIRCHOW2,BRACS,1.0,10.0,0.9078851190865788,0.09199188111853367
VIRCHOW2,BRACS,1.0,100.0,0.8974535958496093,0.20561022295078493
UNI,MHIST,0.01,0.01,0.6915571162734858,0.09064849434758732
UNI,MHIST,0.01,0.1,0.6921288792844708,0.0897347445751281
